2018-10-18 01:09:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 16,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  7,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  6,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  5,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  4,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  3,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  2,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  1,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,11; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:48 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,10; Key:     []; Health: 100.0; Tile: TRAP(grass)
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,9; Key:     []; Health: 100.0; Tile: TRAP(grass)
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,8; Key:     []; Health: 100.0; Tile: TRAP(grass)
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,7; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   2,7; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   3,7; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   3,8; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   3,9; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,10; Key:     []; Health: 100.0; Tile: TRAP(grass)
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,11; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,12; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,13; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,14; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,15; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,16; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,17; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:49 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,18; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,19; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,20; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,21; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,22; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,23; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,24; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,25; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,26; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,27; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,28; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,29; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,30; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,31; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  4,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:50 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 13,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 14,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 15,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 16,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 17,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 18,32; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,31; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,30; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,29; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,28; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,27; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,26; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,25; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,24; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,23; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 18,22; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 19,22; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 20,22; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 21,22; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 21,21; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 21,20; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 22,20; Key:     []; Health: 100.0; Tile: ROAD
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 23,20; Key:     []; Health:  95.0; Tile: TRAP(lava)
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 24,20; Key:     []; Health:  90.0; Tile: TRAP(lava)
2018-10-18 01:09:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 25,20; Key:    [1]; Health:  85.0; Tile: TRAP(lava)
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 26,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 27,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 28,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 29,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 30,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 31,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 32,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 33,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 34,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 35,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 36,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 37,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 38,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 39,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 40,20; Key:    [1]; Health:  85.0; Tile: ROAD
